class,id,name,rarity,cost,inactive,category,condition,trigger,trigger_scope,action,action_scope,modifier,tradeoff,meta_system,meta_when,description,notes
pillar,flypaper,Flypaper,u,6,false,DEAL,NONE,card lands,column,add sticker,pile,NONE,NONE,,,When a card lands correctly in this column → 5% chance it gains a random sticker,5% per correct landing; curse-free pool
pillar,underdog,Underdog,r,6,false,DEAL,NONE,specific rank lands,column,bury,pile,NONE,NONE,,,When a {rank} lands correctly in this column → bury 1 deck card under that pile,{rank} locked at first shelf: the scarcest
pillar,crowdFavorite,Crowd Favorite,r,6,false,DEAL,NONE,specific rank lands,column,earn coins,column,NONE,NONE,,,When a {rank} lands correctly in this column → +2 coins,{rank}: the most held at lock
pillar,insurance,Insurance,r,4,false,DEAL,board: exactly one pile alive,deal end,board,earn coins,board,NONE,NONE,,,At deal end → +8 coins if only one pile is alive,
pillar,ditto,Ditto,r,5,false,DEAL,loadout: center pillar equipped,passive/always,column,mirror pillar,column,NONE,NONE,,,Mirrors the center column's pillar,
pillar,stickerCount,Heavy Diamond,u,4,false,DEAL,NONE,passive/always,column,pile size,column,NONE,NONE,,,♦ cards in this column count as +2 toward pile size,♦ cards weigh +2 while in column
pillar,queensEye,Queen's Eye,u,4,false,DEAL,NONE,specific rank lands,column,peek,deck,NONE,NONE,,,When a royal ♠ (J/Q/K) lands in this column → peek at the next card,royal ♠ only (rank+suit trigger)
pillar,royalCourt,Royal Court,u,3,false,DEAL,NONE,specific suit lands,column,shuffle,column,NONE,NONE,,,When a ♦ lands in this column → optionally shuffle the other piles in this column,"v6.91: offered, not forced — decline/tap-away keeps the order"
pillar,lastRites,Last Rites,r,10,false,DEAL,NONE,pile died,column,peek,deck,NONE,NONE,,,When a pile in this column dies → peek the next card,
pillar,wildAces,Wild Aces,r,10,false,DEAL,NONE,passive/always,column,safety/save,column,NONE,NONE,,,Aces count as high or low in this column,aces high-or-low
pillar,diamondAnchor,Diamond Anchor,r,6,false,DEAL,NONE,deal end,column,score exclusion,column,# piles with suit,NONE,,,At deal end → exclude any pile in this column with a ♦ top card from the smallest-pile score,
pillar,diamondDistribution,Diamond Distribution,u,3,false,DEAL,NONE,specific suit lands,column,redistribute,column,NONE,NONE,,,When a ♦ lands in this column → make all piles in this column equal size,
pillar,zeroRanksBury,Empty Ranks Bury,r,8,false,DEAL,deck: missing ranks,specific suit lands,column,bury,pile,# ranks missing,NONE,,,When a ♣ lands in this column → bury 1 card under that pile per rank with zero copies in your full deck,
pillar,heartZeroRanksCoin,Empty Ranks Coins,u,8,false,DEAL,deck: missing ranks,specific suit lands,column,earn coins,column,# ranks missing,NONE,,,When a ♥ lands in this column → +2 coins per rank with zero copies in your full deck,
pillar,diamondZeroRanksSize,Empty Ranks Heavy,u,8,false,DEAL,deck: missing ranks,specific suit lands,column,pile size,pile,# ranks missing,NONE,,,When a ♦ lands in this column → +1 pile size per rank with zero copies in your full deck,
pillar,eightStart,Crazy Eights,r,10,false,DEAL,deck: most-common rank (8s),deal start,column,pile size,column,NONE,NONE,,,If 8s are the most common rank in your full deck → this column's piles start at pile size 8,
pillar,royalSanctuary,Royal Sanctuary,u,6,false,DEAL,deck: no 2s,specific rank lands,column,safety/save,column,NONE,NONE,,,If your full deck contains no 2s → royals (J/Q/K) are always safe in this column,
pillar,suitMajoritySafe,Majority Rule,r,8,false,DEAL,deck: majority suit,specific suit lands,column,safety/save,column,NONE,NONE,,,If half or more of your full deck is {suit} → {suit} cards are safe when they land in this column,
pillar,diamondDupeSize,Diamond Echo,u,6,false,DEAL,NONE,specific suit lands,column,pile size,pile,# copies of rank,NONE,,,When a ♦ lands in this column → +1 pile size per duplicate of that card's rank in your full deck,
pillar,stickerCurseWard,Curse Ward,r,7,false,DEAL,NONE,card lands,column,remove sticker/curse,column,NONE,NONE,,,Stickers that would convert into curses in this column don't — they stay as stickers,PREVENTION: blocks conversions; action = curse-prevention
pillar,finalPilePurge,Final Cut,r,8,false,DEAL,NONE,pile died,column,purge,deck,NONE,NONE,,,Permanently purge whichever card kills the final pile in this column,the column's LAST death only
pillar,sameTolNear,Close Call,r,9,false,DEAL,NONE,Same called,column,safety/save,column,NONE,NONE,,,Same calls are safe on cards ±1 in value in this column. A survived Same counts as a full correct Same — charges the Same Shield and fires your Same-Power,
pillar,sameTolRoyal,Royal Pair,r,7,false,DEAL,NONE,Same called,column,safety/save,column,NONE,NONE,,,A royal landing on a royal survives a Same call in this column. A survived Same counts as a full correct Same — charges the Same Shield and fires your Same-Power,
pillar,sameTolSuit,Same Suit Safe,r,6,false,DEAL,NONE,card lands,column,safety/save,column,NONE,NONE,,,A card landing on its own suit is safe in this column,"any call, suit match"
pillar,rankShield,Rank Shield,u,5,false,DEAL,deck: most-common rank,specific rank lands,column,safety/save,column,NONE,NONE,,,Most common card in deck ({rank}) is always safe in this column,re-reads per deal
pillar,suitShield,Scarce Suit,u,6,false,DEAL,deck: scarcest suit,specific suit lands,column,safety/save,column,NONE,NONE,,,The suit your deck holds the fewest of is safe when it lands in this column,zero-count suits eligible
pillar,eightPeek,Eight Ball,c,3,false,DEAL,NONE,specific rank lands,column,peek,deck,NONE,NONE,,,When an 8 lands in this column → peek at the next card,
pillar,pauperHeart,Pauper's Heart,c,2,false,DEAL,<10 coins,specific suit lands,column,tell,pile,NONE,NONE,,,"While your purse holds under 10 coins → when a ♥ lands in this column, that pile gets a tell",
pillar,pauperDiamond,Pauper's Diamond,c,3,false,DEAL,<10 coins,specific suit lands,board,pile size,board,NONE,NONE,,,While your purse holds under 10 coins → a ♦ landing anywhere on the board counts +2 toward pile size instead of +1,
pillar,pauperSpade,Pauper's Spade,c,2,false,DEAL,<10 coins,specific suit lands,column,tell,deck,NONE,NONE,,,"While your purse holds under 10 coins → when a ♠ lands in this column, the next card shows a tell (higher/lower/same)",
pillar,pauperClub,Pauper's Club,c,2,false,DEAL,<10 coins,specific suit lands,column,bury,pile,NONE,NONE,,,"While your purse holds under 10 coins → when a ♣ lands in this column, bury 1 card under that pile",
pillar,curseHarvest,Curse Harvest,r,7,false,DEAL,NONE,cursed card lands,column,bury; peek,pile,NONE,NONE,,,"When a cursed card lands in this column → bury 1 card under that pile, then peek at the next card",
pillar,sizeOneDiamonds,Size One Diamonds,u,5,false,DEAL,board: pile at size 1 (column),specific suit lands,board,pile size,board,NONE,NONE,,,While any pile in this column has pile size 1 → a ♦ landing anywhere on the board counts +2 toward pile size instead of +1,
pillar,bulkRate,Bulk Rate,u,6,false,META,NONE,,,,,NONE,NONE,store economy,passive (per purge bought),The store's Purge price climbs by 1 instead of 2. No effect during deal,ladder step 2 → 1
pillar,freebie,Freebie,r,9,false,META,NONE,,,,,NONE,NONE,store economy,per store visit,One random item in every store costs 0 coins. No effect during deal,
pillar,rareHunter,Rare Hunter,r,8,false,META,NONE,,,,,NONE,NONE,store economy,passive (every shelf roll),Rare items appear in the store twice as often. No effect during deal,
pillar,twoWard,Bouncer,u,5,false,META,deck: no 2s → certainty,,,,,NONE,NONE,map & encounters,at a mystery node,30% chance to turn away a Just a Two mystery. 100% chance if there are no 2s in your deck. No effect during deal,"30% base, unconditional"
pillar,queenFinder,Queen-Finder,u,5,false,META,deck: most-common rank (Queens) → certainty,,,,,NONE,NONE,map & encounters,at a mystery node,+30% chance to find a Beheaded Queen at a mystery stop. 100% chance if Queens are the most common rank in your deck (ties don't count). No effect during deal,"+30% base, unconditional"
pillar,purgeFlatFive,Flat Purge,r,8,false,META,NONE,,,,,NONE,NONE,store economy,on purchase (one-shot),On purchase → the store's Purge price is halved (minimum 5). No effect during deal,"halve current Purge price, min 5"
pillar,firstFree,On the House,r,7,false,META,NONE,,,,,NONE,NONE,store economy + run economy,per store visit / per deal,The first restock in each store and the first reshuffle of each deal are free,HYBRID-lite: the free reshuffle is a deal-side perk
pillar,purgeRank,Rank Purge,r,10,false,DEAL,NONE,on purchase,board,purge,deck,# copies of rank,NONE,,,On purchase → purge every {rank} from your deck. No effect during deal,one-shot deck shaper at buy time
base,kamikaze,Kamikaze,r,8,false,DEAL,board: ♠-topped pile in column,manual (base fire),column,peek,deck,NONE,kill pile,,,"Kill a random ♠-topped pile in this column, → peek the next 2 cards",
base,spadePeek,Spade Peek,u,7,false,DEAL,column: all tops ♠,manual (base fire),column,peek,deck,NONE,NONE,,,Peek the next card. Requires every pile in this column has a ♠ on top,
base,shuffleColumn,Upheaval,c,5,false,DEAL,NONE,manual (base fire),column,shuffle,column,NONE,NONE,,,Shuffle every pile in this column,
base,revive,Phoenix,u,7,false,DEAL,board: dead pile in column,manual (base fire),column,revive,column,NONE,return cards to deck,,,Revive a random dead pile in this column. Buried cards return to the deck,
base,randomSticker,Wild Sticker,u,10,false,DEAL,NONE,manual (base fire),column,add sticker,pile,NONE,NONE,,,Apply a random sticker to a random top card in this column,curse-free pool
base,evenOut,Ballast,c,5,false,DEAL,NONE,manual (base fire),board,redistribute,board,NONE,NONE,,,Make ALL piles on the board equal size,
base,setValue,Rank Setter,r,10,false,DEAL,NONE,manual (base fire),column,change card identity (rank),column,NONE,NONE,,,Permanently set every top card's rank in this column to the bottom pile's rank,
base,setSuit,Suit Setter,r,5,false,DEAL,NONE,manual (base fire),column,change card identity (suit),column,NONE,NONE,,,Permanently set every top card's suit in this column to the bottom pile's suit,
base,stickerHarvest,Sticker Harvest,u,6,false,DEAL,card: stickered top in column,manual (base fire),column,bury; remove sticker/curse,pile,# stickers/curses,peel stickers,,,"Choose a pile → bury 2 cards per sticker on its top card, then peel all those stickers",
base,refreshBases,Refresh Bases,r,9,false,DEAL,loadout: other spent base,manual (base fire),board,recharge base,board,NONE,NONE,,,Recharge your other two bases,
base,clubDig,Club Dig,r,8,false,DEAL,NONE,manual (base fire),column,bury,column,# piles with suit,NONE,,,Bury 1 card under each ♣-topped pile in this column,
base,demolish,Demolition,u,8,false,DEAL,loadout: own pillar equipped,manual (base fire),column,peek,deck,NONE,destroy base/pillar,,,"Destroy this column's pillar permanently, then peek the next 3 cards",
base,heartDemolish,Heart Demolition,u,5,false,DEAL,board: ♥-topped pile in column,manual (base fire),column,earn coins,column,# piles with suit,kill pile,,,Destroy every ♥-topped pile in this column. +4 coins per pile destroyed,
base,tax,Heart Tax,u,5,false,DEAL,board: ♥ cards in column,manual (base fire),column,earn coins,column,# suit cards (column),NONE,,,+1 coin per ♥ card in this column,
base,rechargeSame,Recharge Cell,r,10,false,DEAL,NONE,manual (base fire),board,charge shield/power,board,NONE,NONE,,,Charge the Same Shield,
base,activateSame,Power Surge,r,10,false,DEAL,loadout: Same-Power equipped,manual (base fire),board,charge shield/power,board,NONE,NONE,,,Activate your Same-Power,
base,lastResort,Last Resort,r,10,false,DEAL,boss: non-boss deal only,manual (base fire),board,win deal; bury,board,# cards remaining,destroy base/pillar,,,"In a non-boss deal, bury the whole deck under a pile in this column and win instantly. Any Base nearby is destroyed",
base,emptyPurse,Empty Purse,r,5,false,DEAL,NONE,manual (base fire),board,peek,deck,# coins in purse,lose purse coins,,,"Spend ALL your coins → peek 1 card, +1 more per 10 coins spent",
base,sameTell,Same Sight,u,5,false,DEAL,NONE,manual (base fire),board,tell,board,NONE,NONE,,,"If the next card is the SAME rank as a top card anywhere on the board, the = mark appears on that card",
base,lonePeek,Lone Peek,r,10,false,DEAL,loadout: no Same-Power equipped,manual (base fire),board,peek,deck,NONE,NONE,,,Peek the next card. Only works while no Same-Power is equipped,
base,clubOracle,Club Oracle,u,8,false,DEAL,board: ♣-topped pile in column,manual (base fire),column,tell,column,# piles with suit,NONE,,,"Put a tell marker on each ♣-topped pile in this column for the next draw. Tell marker shows if the next card is higher, lower, or same",
base,ambushOut,Escape Hatch,r,8,false,DEAL,encounter: ambush deal only,manual (base fire),board,win deal,board,NONE,NONE,,,Only usable in an ambush from Just a Two → clear the deal instantly,
base,purgeDiscount,Purge Coupon,u,5,false,META,NONE,,,,,NONE,NONE,store economy,manual fire (any time in deal),Reduce the Store's Purge cost by 2 ({current} → {new}). Minimum 5,"occupies a base slot; −3 to Purge, floor 5"
base,bonusResetPeek,Bonus Reset,u,4,false,DEAL,run: bonus coins > 1,manual (base fire),board,peek,deck,# bonus coins,lose bonus coins,,,"Reset bonus coins earned this deal to zero, then peek the next card",
base,sacrifice,Sacrifice,u,6,false,DEAL,NONE,manual (base fire),column,purge,deck,NONE,kill pile,,,"Choose a pile → purge its top card from your deck, then kill that pile",
base,devilsDeal,Devil's Deal,r,8,false,DEAL,NONE,manual (base fire),column,earn coins,board,# bonus coins,curse a card,,,"Double your bonus coins earned this deal, then add a curse to a top card in this column",
base,cleanseColumn,Cleanse,u,5,false,DEAL,card: cursed top in column,manual (base fire),column,remove sticker/curse,column,# stickers/curses,NONE,,,Remove all curses from the top cards in this column,
base,chorus,Chorus,r,8,false,DEAL,NONE,manual (base fire),column,change card identity (rank),column,# copies of rank,NONE,,,Set every top card in this column to {rank},
base,diamondBoost,Diamond Boost,c,3,false,DEAL,board: ♦-topped pile in column,manual (base fire),column,pile size,column,# piles with suit,NONE,,,Every pile with a ♦ top card in this column → +3 pile size,
power,linkBury,Burrow,r,9,false,DEAL,NONE,Same called,board,bury,board,# piles with suit,occupies-slot-only,,,Bury 1 card under every pile with a {suit} top card,
power,linkRevive,Rekindle,r,9,false,DEAL,board: dead pile exists,Same called,board,revive,board,NONE,occupies-slot-only,,,Revive a dead pile,
power,linkCoins,Dividend,r,9,false,DEAL,NONE,Same called,board,earn coins,board,# alive piles,occupies-slot-only,,,Gain 1 coin for each alive pile,
power,linkShuffle,Link Shuffler,r,9,false,DEAL,NONE,Same called,board,shuffle,board,NONE,occupies-slot-only,,,Shuffle every alive pile,
power,sameCleanseAll,Cleanse All,r,9,false,DEAL,NONE,Same called,board,remove sticker/curse,board,# stickers/curses,occupies-slot-only,,,When you call a correct Same → clear all curses from every top card on the board,
power,samePeek,Same Peeker,r,9,false,DEAL,NONE,Same called,board,peek,deck,NONE,occupies-slot-only,,,Peek the next card,
power,linkTell,Second Sight,r,9,false,DEAL,NONE,Same called,board,tell,board,NONE,occupies-slot-only,,,Every alive pile shows a tell (higher/lower/same) for the next draw,
power,linkSticker,Link Sticker,r,9,false,DEAL,NONE,Same called,column,add sticker,column,NONE,occupies-slot-only,,,Apply a random sticker to every top card in this column,
power,linkPurge,Long Odds,r,9,false,DEAL,NONE,Same called,board,purge,deck,NONE,occupies-slot-only,,,50% chance to purge a card from the deck,50% roll
power,linkHeavy,Link Heavy,r,9,false,DEAL,NONE,Same called,board,pile size,board,NONE,occupies-slot-only,,,"Add +1 pile size to every pile, and +3 to the pile you called Same on",
power,rankFlood,Rank Flood,r,9,false,DEAL,NONE,Same called,board,change card identity (rank),board,NONE,occupies-slot-only,,,A correct Same sets the top card of every alive pile to this card's rank. A Joker on either side ranks them by the ranked card; Joker-on-Joker makes Aces,
sticker,clubSnob,Club Snob,u,10,true,DEAL,NONE,specific suit lands,pile,bury,pile,NONE,NONE,,,"When a ♣ lands on this card, or this card lands on a ♣ → bury 1 deck card under the pile",bidirectional ♣ contact
sticker,clubRoots,Rank Roots,r,8,true,DEAL,NONE,card lands,pile,bury,board,# copies of rank,NONE,,,When this card lands → bury 1 card under each pile whose top card matches this card's rank,buries under each rank-matched OTHER top
sticker,snowball,Snowball Bury,r,10,true,DEAL,NONE,card lands,pile,bury,pile,# streak length,NONE,,,"Bury X cards. X starts at 0, grows by 1 each correct placement, resets to 0 on a wrong guess","X grows per correct, resets on wrong"
sticker,deathBounty,Last Coin,c,2,true,DEAL,NONE,pile died,pile,earn coins,board,NONE,NONE,,,+3 coins if it kills a pile,
sticker,collector,Collector,u,1,true,DEAL,NONE,card lands,pile,earn coins,board,# stickers/curses,NONE,,,+1 coin per other sticker on this card,
sticker,deepPockets,Deep Pockets,u,3,true,DEAL,NONE,card lands,pile,earn coins,board,# cards remaining,NONE,,,+1 coin per 10 cards left in the deck,
sticker,heartChoir,Heart Choir,u,3,true,DEAL,NONE,card lands,pile,earn coins,board,# piles with suit,NONE,,,+1 coin per each pile with a ♥ top card,
sticker,heartSnob,Heart Snob,u,2,true,DEAL,NONE,specific suit lands,pile,earn coins,board,NONE,NONE,,,"When a ♥ lands on this card, or this card lands on a ♥ → +2 coins",bidirectional ♥ contact
sticker,looseChange,Loose Change,u,2,true,DEAL,NONE,card lands,pile,earn coins,board,NONE,NONE,,,+0–3 coins (random),random 0–3
sticker,compound,Compound,r,6,true,DEAL,NONE,card lands,pile,earn coins,board,# streak length,NONE,,,"+X coins. X starts at 0, grows by 1 each correct placement, resets to 0 on a wrong guess",
sticker,suitSnob,Spade Snob,u,4,true,DEAL,NONE,specific suit lands,pile,peek,deck,NONE,NONE,,,"When a ♠ lands on this card, or this card lands on a ♠ → peek at the next card",bidirectional ♠ contact
sticker,revealNext,Scout,r,10,true,DEAL,NONE,card lands,pile,peek,deck,NONE,NONE,,,Peek at the next deck card,
sticker,massive,Massive,u,2,true,DEAL,NONE,passive/always,pile,pile size,pile,NONE,NONE,,,+2 pile size,
sticker,clubGuard,Club Guard,u,5,true,DEAL,NONE,card lands,pile,safety/save,pile,NONE,NONE,,,"Safe if this card lands on a ♣, or a ♣ lands on this card",suit-locked bidirectional guard
sticker,heartGuard,Heart Guard,u,5,true,DEAL,NONE,card lands,pile,safety/save,pile,NONE,NONE,,,"Safe if this card lands on a ♥, or a ♥ lands on this card",suit-locked bidirectional guard
sticker,diamondGuard,Diamond Guard,u,5,true,DEAL,NONE,card lands,pile,safety/save,pile,NONE,NONE,,,"Safe if this card lands on a ♦, or a ♦ lands on this card",suit-locked bidirectional guard
sticker,diamondRipple,Diamond Ripple,u,2,true,DEAL,NONE,card lands,pile,shuffle,board,# piles with suit,NONE,,,Shuffle every other pile with a ♦ top card,
sticker,shuffle,Shuffle,u,1,true,DEAL,NONE,card lands,pile,shuffle,pile,NONE,NONE,,,Optionally shuffle the pile,offered
sticker,spadeWhispers,Spade Whispers,r,8,true,DEAL,NONE,card lands,pile,tell,board,# piles with suit,NONE,,,"The next X cards show a hint (higher/lower/same), where X = other piles with a ♠ top card",
sticker,wildSuit,Wild Suit,c,1,true,DEAL,NONE,passive/always,pile,change card identity (suit),pile,NONE,NONE,,,Counts as every suit,counts as every suit
pillar,clubTribute,Clean Bury,r,10,true,DEAL,card: 0 stickers on lander,specific suit lands,column,bury,pile,NONE,NONE,,,When a ♣ with no stickers lands in this column → bury 1 card under that pile,
pillar,clubThin,Club Thin,u,6,true,DEAL,NONE,specific suit lands,column,bury,pile,# cards remaining,NONE,,,When a ♣ lands in this column → bury 1 card per 25 cards remaining in the deck,
pillar,absentSuitClubBury,Void Tribute,r,8,true,DEAL,deck: missing suits,specific suit lands,column,bury,pile,NONE,NONE,,,"If your full deck contains no {suit} → when a ♣ lands in this column, bury 2 cards under that pile",
pillar,excavator,Excavator,u,3,true,DEAL,NONE,deal end,column,earn coins,column,# cards in pile,NONE,,,At deal end → +1 coin per buried card in this column's largest pile with a ♥ top card,
pillar,prime,Prime,r,3,true,DEAL,NONE,specific rank lands,column,earn coins,column,NONE,NONE,,,When a prime-rank card (2/3/5/7) lands correctly in this column → +1 coin,primes 2/3/5/7
pillar,allHeartsCoin,All Hearts,c,4,true,DEAL,board: all tops match suit (column),deal end,column,earn coins,column,NONE,NONE,,,At deal end → +4 coins if every surviving pile in this column has a ♥ top card,
pillar,highestEven,Highest Heart,r,8,true,DEAL,NONE,deal end,column,earn coins,column,other: highest ♥ rank,NONE,,,"At deal end → earn coins equal to the highest numbered ♥ top card in this column (2–10 face value, Ace pays 1, royals pay 0)",
pillar,gambler,Gambler,u,5,true,DEAL,NONE,deal end,column,earn coins,column,NONE,NONE,,,At deal end → 50/50: +3 coins or nothing,50/50
pillar,static,Static,r,3,true,DEAL,NONE,specific suit lands,column,peek,deck,NONE,NONE,,,When a ♠ lands in this column → 50% chance to peek at the next card,50% per ♠ landing
pillar,sameTolSum10,Perfect Ten,u,7,true,DEAL,NONE,Same called,column,safety/save,column,NONE,NONE,,,Ranks summing to 10 survive a Same call in this column. A survived Same counts as a full correct Same — charges the Same Shield and fires your Same-Power,
base,transmute,Transmute,r,8,true,DEAL,NONE,on purchase,board,change card identity (suit),deck,# copies of rank,NONE,,,Change all {rank}s to {suit},retired v6.91
